Ethnic group,Age group,First dose administered,Second dose administered,Population,First dose uptake (%),Second dose administered (%),mumber of first dose to 90%,mumber of second dose to 90%
Asian,12-15,275,238,273,100.73260073260073,87.17948717948718,-29.299999999999983,7.700000000000017
Asian,16-19,215,210,209,102.87081339712918,100.47846889952152,-26.900000000000006,-21.900000000000006
Asian,20-24,333,287,301,110.6312292358804,95.34883720930233,-62.099999999999966,-16.099999999999966
Asian,25-29,802,744,718,111.6991643454039,103.62116991643452,-155.79999999999995,-97.79999999999995
Asian,30-34,998,946,956,104.39330543933055,98.9539748953975,-137.60000000000002,-85.60000000000002
Asian,35-39,815,777,715,113.98601398601397,108.67132867132867,-171.5,-133.5
Asian,40-44,615,595,527,116.69829222011386,112.90322580645163,-140.7,-120.69999999999999
Asian,45-49,482,464,458,105.24017467248908,101.31004366812226,-69.80000000000001,-51.80000000000001
Asian,50-54,421,412,389,108.22622107969151,105.91259640102828,-70.89999999999998,-61.89999999999998
Asian,55-59,315,296,333,94.5945945945946,88.88888888888889,-15.300000000000011,3.6999999999999886
Asian,60-64,268,257,274,97.8102189781022,93.7956204379562,-21.400000000000006,-10.400000000000006
Asian,65-69,166,159,185,89.72972972972974,85.94594594594595,0.5,7.5
Asian,70-74,124,119,122,101.63934426229508,97.54098360655738,-14.200000000000003,-9.200000000000003
Asian,75-79,55,52,61,90.1639344262295,85.24590163934425,-0.10000000000000142,2.8999999999999986
Asian,80-84,28,27,29,96.55172413793103,93.10344827586206,-1.8999999999999986,-0.8999999999999986
Asian,85-89,10,9,11,90.9090909090909,81.81818181818183,-0.09999999999999964,0.9000000000000004
Asian,90+,6,6,7,85.71428571428571,85.71428571428571,0.2999999999999998,0.2999999999999998
European or Other,12-15,3768,3067,4767,79.04342353681561,64.33815817075728,522.3000000000002,1223.3000000000002
European or Other,16-19,3392,2847,4083,83.07616948322311,69.72814107274064,282.7000000000003,827.7000000000003
European or Other,20-24,3324,2671,4226,78.65593942262187,63.203975390440135,479.4000000000001,1132.4
European or Other,25-29,3760,3030,5154,72.95304617772604,58.78928987194412,878.6000000000004,1608.6000000000004
European or Other,30-34,4516,3768,5615,80.42742653606412,67.1059661620659,537.5,1285.5
European or Other,35-39,4650,3990,5626,82.65197298258087,70.92072520440811,413.40000000000055,1073.4000000000005
European or Other,40-44,4580,4039,5626,81.40774973338073,71.7916814788482,483.40000000000055,1024.4000000000005
European or Other,45-49,5657,5092,7087,79.82220967969522,71.84986595174263,721.3000000000002,1286.3000000000002
European or Other,50-54,7118,6621,8208,86.72027290448344,80.66520467836257,269.1999999999998,766.1999999999998
European or Other,55-59,8086,7606,9555,84.62585034013605,79.60230245944531,513.5,993.5
European or Other,60-64,8869,8416,10005,88.64567716141929,84.11794102948525,135.5,588.5
European or Other,65-69,8986,8691,9715,92.49613998970663,89.45959855892949,-242.5,52.5
