SA2 Code 2018,SA2 2018,DHB of residence,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
Unknown,Unknown,Unknown,"66,039",Masked,Masked,>950,>950,,,Masked,
100100,North Cape,Northland,"1,561","1,355","1,305",868,836,North Cape,Pfizer Booster Plan,220.0,169.10069177555727
100200,Rangaunu Harbour,Northland,"1,933","1,609","1,507",832,780,Rangaunu Harbour,Pfizer Booster Plan,286.0,178.8617886178862
100400,Karikari Peninsula,Northland,"1,342","1,132","1,084",844,808,Karikari Peninsula,Pfizer Booster Plan,319.0,298.96907216494844
100500,Tangonge,Northland,966,835,798,864,826,Tangonge,Pfizer Booster Plan,168.0,195.1219512195122
100600,Ahipara,Northland,"1,064",892,856,838,805,Ahipara,Pfizer Booster Plan,197.0,232.037691401649
100700,Kaitaia East,Northland,"2,007","1,710","1,579",852,787,Kaitaia East,Pfizer Booster Plan,247.0,148.79518072289156
100800,Kaitaia West,Northland,"2,961","2,533","2,328",855,786,Kaitaia West,Pfizer Booster Plan,403.0,166.94283347141675
100900,Rangitihi,Northland,807,665,639,824,792,Rangitihi,Pfizer Booster Plan,141.0,216.92307692307693
101000,Oruru-Parapara,Northland,811,642,607,792,748,Oruru-Parapara,Pfizer Booster Plan,124.0,201.6260162601626
101100,Taumarumaru,Northland,"2,244","1,999","1,927",891,859,Taumarumaru,Pfizer Booster Plan,644.0,338.94736842105266
101200,Herekino-Takahue,Northland,863,677,636,784,737,Herekino-Takahue,Pfizer Booster Plan,123.0,190.9937888198758
101300,Peria,Northland,"1,044",765,705,733,675,Peria,Pfizer Booster Plan,132.0,177.4193548387097
101400,Taemaro-Oruaiti,Northland,854,691,646,809,756,Taemaro-Oruaiti,Pfizer Booster Plan,160.0,236.6863905325444
101500,Whakapaku,Northland,657,501,469,763,714,Whakapaku,Pfizer Booster Plan,86.0,178.4232365145228
101600,Hokianga North,Northland,769,642,596,835,775,Hokianga North,Pfizer Booster Plan,74.0,123.74581939799332
101700,Kohukohu-Broadwood,Northland,679,559,524,823,772,Kohukohu-Broadwood,Pfizer Booster Plan,184.0,352.4904214559387
101800,Whakarara,Northland,"1,093",919,880,841,805,Whakarara,Pfizer Booster Plan,164.0,181.61683277962348
101900,Kaeo,Northland,"1,047",810,746,774,713,Kaeo,Pfizer Booster Plan,88.0,110.97099621689786
102000,Omahuta Forest-Horeke,Northland,971,724,662,746,682,Omahuta Forest-Horeke,Pfizer Booster Plan,135.0,193.1330472103004
102100,Hokianga South,Northland,"1,154",850,789,737,684,Hokianga South,Pfizer Booster Plan,221.0,277.9874213836478
102200,Lake Manuwai-Kapiro,Northland,"1,982","1,780","1,718",898,867,Lake Manuwai-Kapiro,Pfizer Booster Plan,401.0,241.85765983112185
