SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
Unknown,Unknown,Unknown,Maori,"11,199","10,504","9,550",938,853,,,Masked,
Unknown,Unknown,Unknown,Pacific Peoples,"2,786",Masked,Masked,>950,>950,,,Masked,
100100,North Cape,Northland,Maori,842,758,726,900,862,North Cape,Pfizer Booster Plan,81.0,109.60757780784844
100200,Rangaunu Harbour,Northland,Maori,"1,010",840,774,832,766,Rangaunu Harbour,Pfizer Booster Plan,110.0,129.56419316843346
100400,Karikari Peninsula,Northland,Maori,522,422,385,808,738,Karikari Peninsula,Pfizer Booster Plan,71.0,176.17866004962778
100500,Tangonge,Northland,Maori,542,464,433,856,799,Tangonge,Pfizer Booster Plan,72.0,147.23926380368098
100600,Ahipara,Northland,Maori,589,486,461,825,783,Ahipara,Pfizer Booster Plan,77.0,164.52991452991452
100700,Kaitaia East,Northland,Maori,"1,311","1,098",984,838,751,Kaitaia East,Pfizer Booster Plan,95.0,88.86810102899906
100700,Kaitaia East,Northland,Pacific Peoples,53,Masked,Masked,>950,>950,Kaitaia East,Pfizer Booster Plan,Masked,86.95652173913044
100800,Kaitaia West,Northland,Maori,"1,860","1,583","1,411",851,759,Kaitaia West,Pfizer Booster Plan,159.0,106.49698593436035
100800,Kaitaia West,Northland,Pacific Peoples,101,93,87,921,861,Kaitaia West,Pfizer Booster Plan,8.0,88.88888888888889
100900,Rangitihi,Northland,Maori,388,310,291,799,750,Rangitihi,Pfizer Booster Plan,34.0,116.04095563139931
101000,Oruru-Parapara,Northland,Maori,310,241,220,777,710,Oruru-Parapara,Pfizer Booster Plan,27.0,114.40677966101696
101100,Taumarumaru,Northland,Maori,580,505,463,871,798,Taumarumaru,Pfizer Booster Plan,78.0,163.17991631799163
101200,Herekino-Takahue,Northland,Maori,414,334,305,807,737,Herekino-Takahue,Pfizer Booster Plan,35.0,110.41009463722398
101300,Peria,Northland,Maori,349,268,235,768,673,Peria,Pfizer Booster Plan,23.0,88.8030888030888
101400,Taemaro-Oruaiti,Northland,Maori,301,228,198,757,658,Taemaro-Oruaiti,Pfizer Booster Plan,23.0,102.67857142857144
101500,Whakapaku,Northland,Maori,269,209,183,777,680,Whakapaku,Pfizer Booster Plan,22.0,105.26315789473684
101600,Hokianga North,Northland,Maori,645,544,503,843,780,Hokianga North,Pfizer Booster Plan,50.0,98.23182711198427
101700,Kohukohu-Broadwood,Northland,Maori,364,286,258,786,709,Kohukohu-Broadwood,Pfizer Booster Plan,68.0,261.53846153846155
101800,Whakarara,Northland,Maori,528,454,427,860,809,Whakarara,Pfizer Booster Plan,60.0,130.1518438177874
101900,Kaeo,Northland,Maori,456,345,306,757,671,Kaeo,Pfizer Booster Plan,28.0,81.63265306122449
102000,Omahuta Forest-Horeke,Northland,Maori,631,449,397,712,629,Omahuta Forest-Horeke,Pfizer Booster Plan,69.0,158.98617511520737
102100,Hokianga South,Northland,Maori,697,509,458,730,657,Hokianga South,Pfizer Booster Plan,98.0,205.02092050209205
102200,Lake Manuwai-Kapiro,Northland,Maori,254,202,186,795,732,Lake Manuwai-Kapiro,Pfizer Booster Plan,29.0,148.71794871794873
102300,Okaihau,Northland,Maori,298,251,234,842,785,Okaihau,Pfizer Booster Plan,23.0,87.78625954198473
102400,Rangitane-Purerua,Northland,Maori,343,293,265,854,773,Rangitane-Purerua,Pfizer Booster Plan,33.0,118.70503597122304
102500,Waipapa,Northland,Maori,123,103,97,837,789,Waipapa,Pfizer Booster Plan,13.0,126.2135922330097
102600,Puketotara,Northland,Maori,223,196,185,879,830,Puketotara,Pfizer Booster Plan,19.0,103.2608695652174
